candidate_id,fold,full_year,horizon,feature_set,model_id,xgb_depth,target_coverage,confidence_cutoff,base_side,selected_n,coverage,wins,win_rate,base_wins,baseline_wr,edge,flat_rate,active_weeks,unique_days,top_day_share,top5_day_share,nonoverlap_n,nonoverlap_fraction,long_n,long_wins,long_wr,short_n,short_wins,short_wr,up_only_wr,down_only_wr
1__NQ_ONLY__logit__0.5000,2023,TRUE,1,NQ_ONLY,logit,,0.5,0.0376111399977132,1,10490,0.489637789395071,5544,0.528503336510963,5038,0.480266920877026,0.0482364156339371,0.0396568160152526,52,310,0.00552907530981888,0.0258341277407054,10490,1,6081,3170,0.521295839500082,4409,2374,0.538444091630755,0.480266920877026,0.480076263107722
1__NQ_ONLY__logit__0.2000,2023,TRUE,1,NQ_ONLY,logit,,0.2,0.0677226951314623,1,3786,0.176717699775952,2056,0.543053354463814,1765,0.466191230850502,0.0768621236133122,0.0398837823560486,52,310,0.00818806127839408,0.03486529318542,3786,1,2252,1169,0.519094138543517,1534,887,0.578226857887875,0.466191230850502,0.49392498679345
1__NQ_ONLY__logit__0.1000,2023,TRUE,1,NQ_ONLY,logit,,0.1,0.0847040943042999,1,1671,0.0779966392830471,925,0.553560742070617,773,0.462597247157391,0.0909634949132256,0.0311190903650509,52,293,0.0101735487731897,0.0466786355475763,1671,1,956,500,0.523012552301255,715,425,0.594405594405594,0.462597247157391,0.506283662477558
1__NQ_ONLY__logit__0.0500,2023,TRUE,1,NQ_ONLY,logit,,0.05,0.0984518933392211,1,735,0.0343073188946975,408,0.555102040816327,352,0.47891156462585,0.0761904761904762,0.0285714285714286,52,259,0.0136054421768707,0.0625850340136055,735,1,372,204,0.548387096774194,363,204,0.56198347107438,0.47891156462585,0.492517006802721
1__NQ_ONLY__logit__0.0200,2023,TRUE,1,NQ_ONLY,logit,,0.02,0.114830685943616,1,215,0.0100354742345034,111,0.516279069767442,110,0.511627906976744,0.00465116279069768,0.0186046511627907,50,142,0.027906976744186,0.102325581395349,215,1,98,53,0.540816326530612,117,58,0.495726495726496,0.511627906976744,0.469767441860465
1__NQ_ONLY__logit__0.0100,2023,TRUE,1,NQ_ONLY,logit,,0.01,0.125593642158546,1,77,0.0035941000746826,43,0.558441558441558,37,0.480519480519481,0.0779220779220779,0.038961038961039,38,60,0.038961038961039,0.168831168831169,77,1,37,21,0.567567567567568,40,22,0.55,0.480519480519481,0.480519480519481
1__NQ_ONLY__logit__0.0050,2023,TRUE,1,NQ_ONLY,logit,,0.005,0.133623250229741,1,30,0.00140029873039582,20,0.666666666666667,13,0.433333333333333,0.233333333333333,0,19,23,0.1,0.366666666666667,30,1,15,9,0.6,15,11,0.733333333333333,0.433333333333333,0.566666666666667
1__NQ_ONLY__ranger__0.5000,2023,TRUE,1,NQ_ONLY,ranger,,0.5,0.0259521582298698,1,11276,0.526325616131441,5890,0.522348350478893,5377,0.476853494146861,0.0454948563320326,0.0386661936857041,52,310,0.00532103582830791,0.0251862362539908,11276,1,6971,3566,0.511547841055803,4305,2324,0.539837398373984,0.476853494146861,0.484480312167435
1__NQ_ONLY__ranger__0.2000,2023,TRUE,1,NQ_ONLY,ranger,,0.2,0.0491942353619894,1,4976,0.23226288274832,2684,0.539389067524116,2359,0.474075562700965,0.0653135048231511,0.0407958199356913,52,310,0.00643086816720257,0.0303456591639871,4976,1,3259,1697,0.520711874808223,1717,987,0.574839836924869,0.474075562700965,0.485128617363344
1__NQ_ONLY__ranger__0.1000,2023,TRUE,1,NQ_ONLY,ranger,,0.1,0.0606325846208801,1,2844,0.132748319641524,1541,0.541842475386779,1360,0.478199718706048,0.0636427566807314,0.0365682137834037,52,308,0.0070323488045007,0.0330520393811533,2844,1,1889,989,0.523557437797777,955,552,0.578010471204189,0.478199718706048,0.485232067510549
